title,release.name,artist.name,terms,year
L' Envers Du DA(c)cor,French Touch,Richard Galliano,tango,1999
Quiet Time,Passion,Regina Belle,vocal jazz,1993
Little Sister,Round Every Corner,Debbie Davies,blues-rock,1998
Song For Mom (LP Version),The Definitive Collection,STEVE CAMP,ccm,0
All Over Me,The Camp Is Back,Jay Tee & Baby Bash,hard house,0
I Hate You,High Kicks,The Stolen Minks,dance rock,0
From The Blind (LP Version),The Hinderers,Daath,technical death metal,2006
Misanthrope,Extasick and This Dirty Musick,Extasick,digital hardcore,0
Chains Chains (Live In Hammersmith),The Official Bootleg Box Set,UFO,heavy metal,0
The Date (Remix By Ana Rago),The Date - Dated Girls Remixes,Avril - Remix By Ana Rago,trip hop,2002
As My Fire Flies,Pat Travers,Pat Travers,blues-rock,0
We Wish You A Merry Christmas,CHRISTMAS DANCE SENSATION,SNOWPATROL,indie rock,0
BAPse,Jetzt geht's ab - JubilA$?ums-Edition,Die Fantastischen Vier,pop rap,1991
Saturday Night Is The Loneliest Night In The Week,The Blue Noise Session,Jeanie Lambe & The Danny Moss Quartet,hip hop,0
A Mi No Me Importa,Mis Momentos,Nelson Ned,latin jazz,0
BYOB (Explicit Album Version),Hustlenomics,Yung Joc,gangster rap,2007
Le PresbytA"re n'a rien perdu de son Charme,Le MystA"re de la Chambre Jaune (Bande Originale du Film),Philippe Sarde,smooth jazz,0
Ven Morena,10 De ColecciA3n,Orquesta AragA3n,charanga,2003
Brighton by the Sea,To Grover_ With Love,Jason Miles,jazz fusion,0
CHAOS INTRO,Across the nation,State of Chaos,tech house,0
Bloody Pig Pile (Live),Live On St. Patrick's Day,Dropkick Murphys,celtic punk,2002
Hex Breaker,Secrets & Lies,Taint,power electronics,2009
The Melting Moon (Edit),The Melting Moon,VHS Or Beta,disco,2004
Hawaiian Chimes,The Legendary Leonard Kwan : The Complete Early Recordings,Leonard Kwan,slack key guitar,0
Turn Around,In This Place,True Believers,melodic hardcore,0
L'accordA(c)oniste,13 ans de caravaning,Les Hurlements D'leo,folk rock,1999
Tumba Tumba,La Charanga Soy Yo,Charanga Forever,salsa,2000
Why don't you eat where you slept last night ?,Hot Rhythm & Cool Blues,Zuzu Bollin,r&b,0
Suffocating Under Words Of Sorrow (What Can I Do),The Poison,Bullet For My Valentine,alternative metal,2005
Im Moving On,The Hit Factory,The Hit Factory,free music,0
Deep Night/Softly As In A Morning Sunrise (Medley),Ultra-Lounge_ Vol. 17: Bongoland,Terry Snyder,space age pop,0
Let Me Show You [I Just Want To Make You Smile],Suddenly,Marcus Miller,jazz funk,1983
Monster For Music,A Musical Massacre (Explicit),Beatnuts,grime,0
Complain,Joyful,Ayo,neo soul,2006
Daydreaming [Jakwob Remix],Ultraviolet,Kid Sister,hip house,2009
Dansende Foran Speilet,Gyldne Ayeblikk,Mons Leidvin Takle,lullaby,0
Ease,Compact Disc,Public Image Ltd,dance rock,1985
Everchanging,This Is Noise,Rise Against,hardcore punk,2001
Too much informa,Bien Sobre Mal Vol. 3: Black Rain Riddim,Sizzla,dancehall,2005
L'insidieuse (Live),Original Album Classics,Richard Galliano,tango,0
So Hot,Radio Hits,Helen Love,power pop,1994
Youlan_ Lonely Orchid (solo guqin),The Flowing Waters,David Mingyue Liang,chinese music,0
Forbidden Fruit,One Sided Story,Pursuit Of Happiness,power pop,0
Recorda-Me,Jazz for a Summer Night,Bobby Hutcherson,latin jazz,0
Lady Of Your Calibre,Mr. Cool,Gregory Isaacs,lovers rock,0
Italian For Goodbye (skit),Humboldt Beginnings,The Pharcyde,rap,2004
Anti Geroi,BalkanBeats Volume 2,Azis,pop folk,2006
Stronger Than Me,Take The Box,Amy Winehouse,vocal jazz,2003
Only For The Young,Tall_ Dark & Chicano,George Lopez,california,2009
T'as 16 ans demain,Vendredi m'obsA"de,Les Hou-Lops,freakbeat,0
Serene,Zetrons,The Cosmosamatics,free jazz,0
So Jah Seh,Roots And Culture Volume 3,Jackie Edwards,rock steady,2006
Joy In The Journey (The Final Word Album Version),The Final Word,Michael Card,ccm,0
Chorinho Pra Ele (Live),Original Album Classics,Richard Galliano,tango,0
Warrior's Quest,Victory Songs,Ensiferum,power metal,1999
Medley LeA-la Chico,Zouk Sun-Hit MA(c)gamix,Leila Chicot,zouk,0
The Hustle,Labcabincalifornia,The Pharcyde / Big Boy / Schmooche Cat / Randy Mack,rap,1995
Rakkauden satu - Histoire d'un Amour -,YstA$?vA$?n Laulu - 25 Unohtumatonta Laulua,Erkki Junkkarinen,humppa,0
God Bless You (Goddamn it),Faso Latido,A Static Lullaby,post-hardcore,2005
The Illusionist,Nuclear Blast Showdown 2006,Scar Symmetry,death metal,2006
La Route Est Belle,Ensorsoleil,Oztara,musette,2005
Urgence,Belles De Zouk,Sonia Dersion,zouklove,2004
Pero Me Acuerdo De TA,Mi Reflejo,Christina Aguilera,dance pop,2000
Trapped In Reality,Parody Of Life,Headhunter,dubstep,0
Our Darkest Days,Eighteen Visions,Eighteen Visions,alternative metal,2006
California Dreamin' (LP Version),The Baby Huey Story: The Living Legend,Baby Huey & The Baby Sitters,funk,1971
Dumb Woman Blues,Dark And Dreary,Elmore James,chicago blues,0
Letting You Back In,American Dread,Rising Lion,roots reggae,0
Hear Me Lord (2001 Digital Remaster),All Things Must Pass,George Harrison,classic rock,0
Don't Let Go,The Green Album,Weezer,pop rock,2001
U Don't Hear Me Tho' (Street Mix),Greatest Hits,Rodney O & Joe Cooley,miami bass,1993
Lonely Street,Boots Randolph's Yakety Sax!,Boots Randolph,instrumental rock,1963
Undertow,Harmony And Dissidence,Jackson United,surf music,2008
12 Seasons of Love,Zetrons,The Cosmosamatics,free jazz,0
Courtyard,The Best of Bobbie Gentry: The Capitol Years,Bobbie Gentry,country blues,1968
Have You Ever Seen The Rain,The Best Of (featuring Johnny Guitar Williamson),Creedence Clearwater Revived,country rock,0
Cry Baby,Jukebox Hits 1946-1954,The Johnny Otis Orchestra,jump blues,0
Interlude,B.A.D. (Be A Devil),B.A.D.,dance rock,0
Terra,lo mejor de  Luar na Lubre,Luar Na Lubre,freestyle,2001
Mother,Divergent,Circular,chill-out,0
A La Memoria Del Muerto,Soy Como Soy,Fruko Y Sus Tesos,salsa,2004
Sayin' Dope,All In The Mind,The Bucketheads,vocal house,1995
When The World Is Running Down_ You Make The Best Of What's Still Around,Zenyatta Mondatta,The Police,new wave,0
My Bonnie Lies Over the Ocean,The Simple Life: Campfire Songs,Kinky,alternative dance,0
Now You Know,Senseless: Live At Cantone's_ 1982,The Real Kids,power pop,1996
I'm Sitting Here Waiting,Live In Switzerland,Eddie Boyd,chicago blues,0
Korrupted - Remix,Don't Sleep,Tha Chamba,rap,0
Sex Objekt,Direkt Aus Dem Knast (Du Spast),Jack Orsen & Taktlo$$,hip hop,0
Rain / Ekoln,Foogy,Olov Johansson_ Catriona Mckay,world music,0
Reason With The Beast,Cormorant,Shriekback,alternative dance,2005
As Diehard As They Come (Album Version),Supremacy,Hatebreed,hardcore punk,2006
No Unexpected Guests,Ghost Ship,John Frizzell,soundtrack,2002
Walls And Cannonballs (Album),Release,Sister Hazel,post-grunge,2010
Trouble In The City,#8,J.J. Cale,blues-rock,1983
Dark Angel,The Truth,Precious Bryant,blues,2005
Knocked Up,Sex On Fire,Kings Of Leon,southern rock,2007
Ven Conmigo/Perdoname (Live),La Leyenda,Selena,tejano,0
Taste Of Dis (Explicit Version),Chain Letter,Brooke Valentine,crunk,2005
Prvni vesela,Rubikon,Krystof,soft rock,2006
If You'd Only Talk To Me (Bonus Track),Touchpaper,Claire Hamill,new age,0
Librado Maldonado,Perro Malagradecido,Los Originales De San Juan,mariachi,0
Crass Commercialism,Everything Went Black,Black Flag,hardcore punk,1982
Flores Negras,Asi,Barbarito Diez,charanga,0
Rollercoaster Ride,Angels & Outlaws,Aaron Watson,honky tonk,2008
Turning Away,Best of 1991-2001 Hidden Harvest,Mary Black,country rock,1999
Metal from Hell...22nd Century,Satanic Grimoire,Satan's Host,heavy metal,0
The Girl I Find (LP Version),The Young Mods' Forgotten Story,The Impressions,chicago soul,0
Panda Bear,Of June,Owl City,synthpop,2007
Drifting From Town To Town,The Original Memphis Blues Brothers,Bobby Bland,soul blues,2006
Negativ Song,Das Album zum Film,Headliners,hard house,2006
The Lords Prayer,Prayer,Jane Winther,meditation,0
Nubia (LP Version),See,The Rascals,blue-eyed soul,0
Blake's Worried Blues,Blind Blake Vol. 1 (1926 - 1927),Blind Blake,country blues,0
You're My World,You're My World,Emilia,europop,0
Ojos Gitanos,Grandes Exitos: Complicidad,CA3mplices,pop rock,1991
Mira Nina,10 Aniversario,Emilio,tejano,0
Solamente Una Vez,Sangre De Mi Alma,Nana Caymmi,brazilian pop music,0
Zolte Slonie,Mimikra,Kasia Stankiewicz,chill-out,2006
Sahti Waari,Battle Metal,Turisas,viking metal,2004
Nina Nina,Ketukuba,ChA(c)co Feliciano And Joe King,salsa,2006
Only Do for Love,Only Do for Love,Cache Cache,big beat,0
Arrival,Primal Elegance One,David Hudson,pop rock,0
Las Murallas De JericA3,Perdido En El Espacio,David Summers,pop,0
Megatrend,thahandclaspinduction,Rummage,polka,0
In The Name of the Father,Leviathans Creations,Adr Lavey,gangster rap,0
I Can't Tame Wild Women,Saturday Night Rag 1934-36 Volume 1,Bill Boyd's Cowboy Ramblers,western swing,0
A Somber Wind from a Distant Shore (Album),A Somber Wind From A Distant Shore,Canis Dirus,black metal,0
Little Timmy,Share the Laughter,Vickie Winans,ccm,0
Erica,Justin In Love With HK Philharmonic Concert Live,Justin,future jazz,0
Marcando El Ritmo Al Caminar,Rosas Rojas,La Portuaria,disco,0
To Agalma,Antonis Remos Live,Antonis Remos,pop folk,0
Damisela Encantadora,The Golden Age of Light Music: Orchestral Gems in Stereo,Percy Faith And His Orchestra,orchestra,0
You Are My Memoir,The Ken Burns Effect,Stars Like Fleas,glitch,2007
Donizetti: Roberto Devereux: L'ore trascorrono...,Roberto Devereux,Gaetano Donizetti,bel canto,0
Pienso En Ti,El Amor En Los Tiempos del Colera (Love In The Time Of Cholera),Shakira,dance pop,1995
This Time I'll Be Sweeter,Feel The Fire,Maysa,brazilian pop music,0
Bus Station Blues (Live),Gotta Walk With da King,Little Freddie King,new orleans blues,0
Mr. Prime Minister,Judgement Days,Ms. Dynamite,grime,2005
I Love You And You Love Me,Andy Russell. Themes Only For Lovers,Andy Russell,world,0
A New Hope,Dude Ranch,Blink-182,power pop,1997
Como La Flor (2005 Re-mastering) (Live),Unforgettable,Selena,tejano,0
Ponto,Requiem EP,Kali,hip hop,0
Great Is Thy Faithfulness,Live In Detroit (Expanded Edition),Vickie Winans,ccm,0
Party In The Burbs,TheBurbsLife,John Brown,hard trance,0
Compulsory Resurrection,Programmed to Consume,Abysmal Dawn,blackened death metal,2008
Lobotomy,Turbocharger,Chaotica,industrial rock,0
The tears I cried,Keep cool,Lara & The Gumbo Lickers,visual kei,0
Party Til The Cows Come Home,Gettin' My Groove Back,Elvin Bishop,blues-rock,2005
Don't Cry_ Joe,Hit Club_ The Hits 1949,Gordon Jenkins,orchestra,0
La Excursion,Patchwork,1. Futurologischer Congress,kraut rock,0
Big Balls And Cow Town,House Of Blue Lights,Asleep At The Wheel,western swing,0
Lie Down And Be Counted (2007 Digital Remaster),Let's Make Up And Be Friendly,Neil Innes,pop rock,0
Your Amazing Grace (feat. Raul MidA3n),A Night In Monte-Carlo (Live),Marcus Miller,jazz funk,0
Into A Swan,Into A Swan,Siouxsie,dark wave,2007
To The Stars,October,Claire Hamill,new age,0
The Joes Mobilize,G.I. JOE,Alan Silvestri,country rock,2009
I Got To Quit My Baby,Chicago Blues Festival 1974 With Jimmy Dawkins,Sunnyland Slim,piano blues,0
So Unhappy,Hold That Train,Byther Smith,chicago blues,2004
San Cristobal,Postrof,Dusminguet,rumba,2001
Kashmiri Love Song,Movie Stars (CD 2),Rudolph Valentino,ballad,1992
Marca de Amor NAPSo Sai,Purpurina 37,Sylvia Patricia,bossa nova,0
Ammonite,Sinners International,Zeromancer,industrial rock,2009
If I Ruled The World,Lazy Afternoon,Regina Belle,vocal jazz,2004
The Sweep,Don't Label Us,Two Man Advantage,thrash core,0
Wake Me Up When September Ends (Live at Foxboro_ MA 9/3/05),Wake Me Up When September Ends,Green Day,alternative rock,2005
I Love You,Outta Babylon & I Love You,Ayo,neo soul,0
This Christmas (LP Version),A Classic Soul Christmas,Donny Hathaway,jazz funk,0
Curvy Cola Bottle Body,Curvy Cola Bottle Body,Chico,dirty south rap,0
VolcA!n,Amar y Querer (Homenaje a Las Grandes Canciones),KALIMBA,death core,2009
Alkohol,SKOLD vs. KMFDM,SKOLD vs. KMFDM,heavy metal,0
Heart it Races (Frank Tetaz Remix),Heart It Races Remixes,Architecture In Helsinki,twee pop,0
Very Well,The Best of the Wailing Souls,Wailing Souls,roots reggae,1979
Village Attack/ The Arrest,Heaven & Earth,Kitaro,chill-out,1993
Lesson Learned,Black Gives Way To Blue,Alice In Chains,grunge,2009
(I Heard That) Lonesome Whistle,The Capitol Years,Bobby Darin,brill building pop,1995
Here Comes The Hotstepper,Massive Reggae,Ini Kamoze,dancehall,1995
Almost Genuine,9th Wonder Presents Dream Merchant Volume 1,9th Wonder featuring Defcon_ Phonte,hip hop,0
Can't Shake That Girl,Grown Up Wrong,The Real Kids,power pop,0
What You Deserve (Album Version),The Best Of Ill NiA+-o,Ill Nino,alternative metal,2006
Es dificil,Massacre Musical,De La Ghetto,reggaeton,0
The Sweetest Curse,Blue Record,Baroness,sludge metal,2009
We're Back,Grand Champ,DMX / Eve / Jadakiss,hip hop,2003
Talk Like POP,Cactuses Come In Flocks,Melt Banana,noise rock,0
Fuego Caliente,Fuego Caliente,M.I.K.E.,progressive trance,0
Un Tipo Como Yo,Back To The Future,Willie Rosario,salsa,1999
The Thrill Is Gone,Best of Zydeco,Jude Taylor & His Burning Flames,zydeco,1994
Slave To The Wage,Black Market Music,Placebo,british pop,2000
Hit The Lights,Some Kind Of Monster,Metallica,speed metal,1982
Cancion Para Mi Muerte,Adios Sui Generis Vol.I,Sui Generis,cumbia,0
Have You Seen Her,Aviation,The Red Telephone,power pop,0
Don't Tell Me,Don't Look Back,T-Bone,ccm,0
Karuna,Eternity's Sunrise,Bill Douglas,chamber jazz,0
Lil Mama Getdown,Da Nastier da Better,DJ Spinn featuring Traxman,chicago house,0
Closing Scene,Freddie And The Trojan Horse,The Radio Dept.,shoegaze,2007
Get It For Free,Dr Feelgood Deluxe Edition,MAPtley CrA1/4e,heavy metal,1999
Feelings,Innovation The Album Mixed By Shy FX,Shy FX & T Power,uk garage,2005
If You Love Me,Becstasy,Becky Baeling,dance pop,2003
Still There For Me,Suitcase,Keb' Mo',blues,2006
Allein,Ultrakurzwelle,UKW,neue deutsche welle,0
Doctor Of Hearts (Album Version),60's Girl Groups,THE CHIFFONS,doo-wop,0
La Vida En Rosa,Instrumental AcordeA3n (28 Hits in Accordion),S. Solis y Orquesta,musette,0
Crying Time,Live From Deep In The Heart Of Texas,Commander Cody And His Lost Planet Airmen,country rock,1974
You Can Always Come Home,Matters Of The Heart,Commissioned,ccm,0
Little Bitty Pretty One,Greatest Hits,Dee Clark,doo-wop,0
Shooting Stars,So Far From Real,Cauterize,pop punk,2003
The Cookie Bakers of the Night,Buzz Buzz,Laurie Berkner,death core,2001
Whip It,DJ Slugo Juke Chronicles Vol. 10,DJ Slugo,bass music,0
The Blessing,Without Zero,Joi,breakbeat,0
Citizen Of The Planet,Old Friends Live On Stage,Simon & Garfunkel,folk-pop,2004
Love Me Now (Rockwilder Remix) (Feat. Wyclef And Redman),Love Me Now (featuring Wyclef) (International Only),Beenie Man Featuring Wyclef And Redman,dancehall,0
Something For The Pain,Blue Moon,Robben Ford,blues-rock,2002
Everyone_ Everywhere_ Everytime,My Favorite Place,Greater Vision,ccm,0
This Is NOT a Crass Song,A New Kind of Army,Anti-Flag,oi,1999
Soul Searcher,Rescue You,Joe Lynn Turner,hard rock,0
Skeletons (Live Acoustic Version),Naked Songs Live And Acoustic,Rickie Lee Jones,folk rock,0
Imagination,San Francisco Love House Volume 2,Hysterie,tech house,2005
Flashflood,Labor Days,Aesop Rock,underground rap,2001
What To Do Crying Waiting Hoping Learning The Game,Down The Line,Bobby Vee,brill building pop,0
El niA+-o de la calle,Serie Tradicional - Mi AcordeA3n Bohemio  CD 1,Alfredo GutiA(c)rrez,louisiana blues,0
Old Times Sake,Suit Yourself,Shelby Lynne,country rock,2005
Wasted Love,Before & After,Tora Tora,glam metal,0
Eleanor Put Your Boots On,Eleanor Put Your Boots On,Franz Ferdinand,art rock,2005
Ass Attack (Four Tet Remix),Coming On Strong,Hot Chip,dance rock,2004
Canta Brasil,Classic Latino,Gal Costa,brazilian pop music,1981
Sally In the Garden,Coal,Kathy Mattea,bluegrass,2008
Steamroller Blues,James Taylor Live,James Taylor,folk-pop,0
Heute,Drama_ Spiel und Blut (Das Archiv Teil 1),Der Moderne Man,new wave,0
A Day In The Life (Album Version),Performing this week... At Ronnie Scotts,Jeff Beck,blues-rock,0
Sous la Tour Eiffel,Italo Dance Collection_ Vol. 1,Taboo,new beat,0
Falling Bombs,Hex,BigElf,stoner rock,2003
Sometimes,The Beat Goes On,Tanto Metro & Devonte,dancehall,0
Wa'ahila (Instrumental - Bonus Track),The Legendary Ray Kane : Old Slack Key,Ray Kane,island music,0
Drive In Saturday - (Tribute to David Bowie),A Tribute To David Bowie Vol 1,Ashes to Ashes,avantgarde metal,0
My Life Would Suck Without You,My Life Would Suck Without You,Kelly Clarkson,teen pop,2009
Bed Crumbs,In A Word,Fudge Tunnel,sludge metal,1991
J'l'ai pas dit,Fous les canards,Edgar Bori,los angeles,0
I'm Just Wonderin' Part 2,Urban Blues Singing Legend 1949-1951,Jimmy Witherspoon,jazz blues,0
No More Blues (Chega de Saudade),Fantasia,Eliane Elias,brazilian jazz,1992
Wave,Angelic Embrace,Dave Eggar,new age,2002
What'd I Say,The Best of Donnie Brooks,Donnie Brooks,oldies,2001
Ja (Hanno's Poppersmonstermix),36 Grad Remixe,2raumwohnung,tech house,2007
Time to come true,Peace in a time of war,SOJA,roots reggae,0
Whatever's Cool With Me (LP Version),Whatever's Cool With Me,Dinosaur Jr.,indie rock,1991
Winter (Four Seasons),Two Warriors,Ulytau,folk metal,0
Hallelujah,Something Beautiful,The Nelons,ccm,0
Creeper Kamikaze,Inertia,The Exies,post-grunge,2003
Error,Natsukashii,Babylon Disco,breakcore,2007
Seuraavassa elA$?mA$?ssA$?,Lauluja rakkaudesta,Kaija Koo,humppa,1995
Fausse monnaie,Paris Jazz Cafe Vol.3,Gus Viseur,gypsy jazz,2000
Chariots Of Fire,Hits Of The 80's,Dino,ccm,0
I Live to Be Hated,Suicide Sessions / Anti-Social Personality Disorder: Live,GG Allin,shock rock,0
Siyabonga (Unreleased Bonus Track),Instrumentals and Lost Tracks,Zimbabwe Legit,hip hop,0
The Majesty Of Rock,Break Like The Wind,Spinal Tap,parody,1992
Blaue Matrosen (live),Drama_ Spiel und Blut (Das Archiv Teil 1),Der Moderne Man,new wave,0
Strange Thing,French,Buzzcocks,new wave,1980
Journey To Love,The Bass-ic Collection,Stanley Clarke,jazz funk,1975
Alguna Vez,Devorador De Corazones,La Portuaria,disco,0
Rotting Fumes,Rad Jackson,Hemdale,grindcore,0
Revelations,Love it to Life,Jesse Malin and The St. Marks Social,urban folk,2007
It's Not Me,Here Without You,3 Doors Down,post-grunge,2003
Ma Rainey's Black Bottom,Ma Rainey,Ma Rainey,classic female blues,1927
I Want It,Back From The Dead,Zombie Girl,electro,2006
Story Of An Artist (Don't Be Scared),Welcome to my World,Daniel Johnston,power pop,0
Sajana (Ft Faheem Mazhar),The Lost Souls Bonus EP,Niraj Chag,trip hop,0
Segredo,Joao Voz E Violato,JoAPSo Gilberto,brazilian jazz,2000
Murder One,BTNHRESURRECTION,Bone Thugs-N-Harmony,gangster rap,2000
I Destructor (Lenny Dee Mix),Blown Away,Ultraviolence,gabba,0
No Quieras Marcharte,Adelante,Los Chichos,flamenco,1984
D Shuffle Jam (Part 2),Live At Tonic,Christian McBride,jazz funk,0
When I Was A Cowboy (Western Plains) (LP Version),Garden Of Joy,Jim Kweskin,ragtime,0
On My Feet Again,Utopia,Utopia,new beat,0
If I...,Ill Na Na,Foxy Brown,hip hop,0
Bedroom Acoustics,Plug In Baby,Muse,art rock,0
Ju Ju,Intermobility,String Trio Of New York,chamber jazz,0
Ad Te Clamamus Exsvles Mortva Liberi,Pentagrammaton,Enthroned,black metal,2010
Deep Sea Creature,Call of the Mastodon,Mastodon,alternative metal,2001
Werther - Lyric Drama in four Acts/Act I/Alors_ c'est bien ici la maison du bailli?,Massenet: Werther,RamA3n Vargas;Vladimir Jurowski,opera,0
